Tiempo (s),Tiempo (horas),Temperatura_Salon_5 (C),Potencia_Salon_5 (W)
2041.0,0.5669444444444445,21.510435527384246,1730.4979771410553
2042.0,0.5672222222222222,21.511281221958058,1733.1139575229788
2043.0,0.5675,21.512160414151072,1735.7227673837735
2044.0,0.5677777777777778,21.51307285699749,1738.317254387133
2045.0,0.5680555555555555,21.514018208794745,1740.8903054878458
2046.0,0.5683333333333334,21.514996034046604,1743.434866436086
2047.0,0.5686111111111111,21.516005804663422,1745.9439611215894
2048.0,0.5688888888888889,21.517046901416347,1748.4107107050195
2049.0,0.5691666666666667,21.51811861564146,1750.828352484435
2050.0,0.5694444444444444,21.519220151189245,1753.1902584456577
2051.0,0.5697222222222222,21.52035062661406,1755.4899534463007
2052.0,0.57,21.521509077597674,1757.7211329844608
2053.0,0.5702777777777778,21.52269445960026,1759.8776805044874
2054.0,0.5705555555555556,21.52390565073171,1761.953684193905
2055.0,0.5708333333333333,21.52514145483547,1763.9434532275673
2056.0,0.5711111111111111,21.52640060477661,1765.8415334174758
2057.0,0.5713888888888888,21.527681765925344,1767.642722229641
2058.0,0.5716666666666667,21.52898353982669,1769.3420831330677
2059.0,0.5719444444444445,21.530304468046705,1770.9349592509343
2060.0,0.5722222222222222,21.531643036185287,1772.4169862910076
2061.0,0.5725,21.53299767804551,1773.7841047428299
2062.0,0.5727777777777778,21.534366779949465,1775.0325713459674
2063.0,0.5730555555555555,21.535748685191045,1776.158969862352
2064.0,0.5733333333333334,21.53714169861733,1777.160221238514
2065.0,0.5736111111111111,21.53854409133267,1778.0335933479662
2066.0,0.5738888888888889,21.53995410552528,1778.7767107280486
2067.0,0.5741666666666667,21.541369959428586,1779.3875652541237
2068.0,0.5744444444444444,21.542789852461087,1779.864530095083
2069.0,0.5747222222222222,21.544211970065838,1780.2063378952348
2070.0,0.575,21.545634487364985,1780.4119927844192
2071.0,0.5752777777777778,21.547055574418124,1780.4808907310144
2072.0,0.5755555555555556,21.548473401453112,1780.4128181338285
2073.0,0.5758333333333333,21.54988614400461,1780.2079455694948
2074.0,0.5761111111111111,21.551291987991736,1779.866823876569
2075.0,0.5763888888888888,21.552689134741794,1779.3903807501601
2076.0,0.5766666666666667,21.554075805956764,1778.7799170852509
2077.0,0.5769444444444445,21.555450248614658,1778.0371027205429
2078.0,0.5772222222222222,21.55681073979558,1777.1639714143962
2079.0,0.5775,21.5581555914212,1776.1629149700889
2080.0,0.5777777777777777,21.55948315489595,1775.0366764719347
2081.0,0.5780555555555555,21.56079182563797,1773.7883426185551
2082.0,0.5783333333333334,21.562080047487967,1772.4213351545184
2083.0,0.5786111111111111,21.563346316984244,1770.9394014112866
2084.0,0.5788888888888889,21.564589187492484,1769.346603975181
2085.0,0.5791666666666667,21.565807273179097,1767.6473095052115
2086.0,0.5794444444444444,21.566999252817443,1765.8461767276372
2087.0,0.5797222222222222,21.56816387341655,1763.9481436375527
2088.0,0.58,21.56929995366249,1761.9584139406875
2089.0,0.5802777777777778,21.570406387163008,1759.8824427712339
2090.0,0.5805555555555556,21.571482145486584,1757.7259217238382
2091.0,0.5808333333333333,21.572526280987628,1755.4947632400456
2092.0,0.5811111111111111,21.573537929410065,1753.1950843914085
2093.0,0.5813888888888888,21.574516312262237,1750.8331901032898
2094.0,0.5816666666666667,21.575460738956583,1748.4155558649775
2095.0,0.5819444444444445,21.5763706087083,1745.9488099732491
2096.0,0.5822222222222222,21.577245412187718,1743.4397153578116
2097.0,0.5825,21.57808473292196,1740.895151038264
2098.0,0.5827777777777777,21.57888824844194,1738.3220932632323
2099.0,0.5830555555555555,21.579655731171687,1735.7275963832458
2100.0,0.5833333333333334,21.580387049057414,1733.118773509645
2101.0,0.5836111111111111,21.581082165934742,1730.5027770124034
2102.0,0.5838888888888889,21.581741141632985,1727.8867789102085
2103.0,0.5841666666666666,21.582364131816245,1725.2779512064
2104.0,0.5844444444444444,21.582951387561724,1722.6834462245445
2105.0,0.5847222222222223,21.583503254676423,1720.110376997355
2106.0,0.585,21.584020172754066,1717.5657977625542
2107.0,0.5852777777777778,21.58450267397486,1715.0566846188792
2108.0,0.5855555555555556,21.584951381651315,1712.5899163950028
2109.0,0.5858333333333333,21.585367008524127,1710.1722557834353
2110.0,0.5861111111111111,21.585750354812745,1707.8103307907033
2111.0,0.5863888888888888,21.58610230602595,1705.510616554054
2112.0,0.5866666666666667,21.586423830538376,1703.2794175738072
2113.0,0.5869444444444445,21.586715976939587,1701.122850409043
2114.0,0.5872222222222222,21.586979871162875,1699.0468268827447
2115.0,0.5875,21.58721671340157,1697.0570378405873
2116.0,0.5877777777777777,21.587427774821165,1695.1589375053713
2117.0,0.5880555555555556,21.587614394076095,1693.3577284663731
2118.0,0.5883333333333334,21.587777973640456,1691.6583473395885
2119.0,0.5886111111111111,21.5879199759624,1690.065451130505
2120.0,0.5888888888888889,21.588041919452184,1688.5834043252426
2121.0,0.5891666666666666,21.588145374314184,1687.2162667274893
2122.0,0.5894444444444444,21.588231958233134,1685.9677820458778
2123.0,0.5897222222222223,21.588303331924653,1684.841367215495
2124.0,0.59,21.588361194559415,1683.8401024006075
2125.0,0.5902777777777778,21.588407279068637,1682.9667215570842
2126.0,0.5905555555555555,21.588443347335108,1682.223603294384
2127.0,0.5908333333333333,21.588471185266386,1681.612761472795
2128.0,0.5911111111111111,21.58849259772941,1681.1358342345113
2129.0,0.5913888888888889,21.588509403458858,1680.7940814129756
