Tiempo (horas),Temperatura_Salon_1 (C),Potencia_Salon_1 (W),Referencia_Salon_1 (C),Temperatura_Salon_2 (C),Potencia_Salon_2 (W),Referencia_Salon_2 (C),Temperatura_Salon_3 (C),Potencia_Salon_3 (W),Referencia_Salon_3 (C),Temperatura_Salon_4 (C),Potencia_Salon_4 (W),Referencia_Salon_4 (C)
0.48333333333333334,21.748163146227668,1814.8176945561763,22.0,20.81333524218345,1592.1358223592995,21.0,19.810484799835226,1451.3683361447354,20.0,18.875656895789128,1228.6864639486291,19.0
0.5,21.74816314682363,1814.8176942154234,22.0,20.813335242738063,1592.135822040172,21.0,19.810484800332212,1451.3683358558494,20.0,18.87565689624594,1228.686463680891,19.0
0.5166666666666667,21.748163147082895,1814.8176940671278,22.0,20.813335242979928,1592.1358219009833,21.0,19.81048480054978,1451.3683357294128,20.0,18.875656896446543,1228.6864635633797,19.0
0.5333333333333333,21.7481631471957,1814.8176940025855,22.0,20.813335243085408,1592.1358218402734,21.0,19.810484800645018,1451.368335674076,20.0,18.875656896534622,1228.6864635118097,19.0
0.55,21.74816314724479,1814.8176939744887,22.0,20.81333524313141,1592.135821813793,21.0,19.8104848006867,1451.3683356498618,20.0,18.875656896573286,1228.686463489182,19.0
0.5666666666666667,21.748163147266155,1814.8176939622545,22.0,20.813335243151474,1592.13582180224,21.0,19.81048480070495,1451.3683356392635,20.0,18.875656896590254,1228.686463479257,19.0
0.5833333333333334,21.748163147275452,1814.8176939569294,22.0,20.81333524316022,1592.1358217972033,21.0,19.81048480071293,1451.368335634628,20.0,18.875656896597697,1228.6864634749058,19.0
0.6,21.7481631472795,1814.817693954613,22.0,20.813335243164037,1592.1358217950064,21.0,19.810484800716424,1451.3683356326014,20.0,18.875656896600965,1228.686463472996,19.0
0.6166666666666667,21.74816314728126,1814.8176939536033,22.0,20.813335243165707,1592.1358217940456,21.0,19.81048480071795,1451.3683356317133,20.0,18.875656896602397,1228.6864634721585,19.0
0.6333333333333333,21.748163147282025,1814.8176939531643,22.0,20.81333524316643,1592.1358217936288,21.0,19.810484800718623,1451.3683356313243,20.0,18.875656896603026,1228.686463471792,19.0
0.65,21.74816314728236,1814.8176939529728,22.0,20.813335243166748,1592.1358217934478,21.0,19.810484800718918,1451.3683356311556,20.0,18.875656896603303,1228.6864634716305,19.0
0.6666666666666666,21.748163147282504,1814.8176939528882,22.0,20.81333524316689,1592.1358217933644,21.0,19.810484800719045,1451.3683356310792,20.0,18.875656896603424,1228.6864634715594,19.0
0.6833333333333333,21.74816314728257,1814.8176939528512,22.0,20.81333524316695,1592.1358217933268,21.0,19.8104848007191,1451.3683356310487,20.0,18.875656896603477,1228.6864634715296,19.0
0.7,21.748163147282597,1814.8176939528362,22.0,20.81333524316697,1592.1358217933182,21.0,19.810484800719124,1451.3683356310335,20.0,18.875656896603502,1228.686463471515,19.0
0.7166666666666667,21.748163147282607,1814.817693952829,22.0,20.813335243166986,1592.135821793307,21.0,19.810484800719134,1451.3683356310287,20.0,18.875656896603513,1228.6864634715073,19.0
0.7333333333333333,21.74816314728261,1814.8176939528284,22.0,20.81333524316699,1592.1358217933064,21.0,19.81048480071914,1451.3683356310237,20.0,18.875656896603516,1228.6864634715057,19.0
0.75,21.748163147282614,1814.8176939528266,22.0,20.813335243166993,1592.1358217933036,21.0,19.81048480071914,1451.3683356310237,20.0,18.875656896603516,1228.6864634715057,19.0
0.7666666666666667,21.748163147282618,1814.8176939528255,22.0,20.813335243166993,1592.1358217933036,21.0,19.81048480071914,1451.368335631024,20.0,18.875656896603516,1228.6864634715057,19.0
0.7833333333333333,21.74816314728262,1814.8176939528234,22.0,20.813335243166993,1592.1358217933048,21.0,19.81048480071914,1451.3683356310246,20.0,18.875656896603516,1228.6864634715062,19.0
0.8,21.748163147282618,1814.8176939528257,22.0,20.813335243166996,1592.1358217933023,21.0,19.81048480071914,1451.3683356310241,20.0,18.87565689660352,1228.686463471506,19.0
0.8166666666666667,21.74816314728262,1814.8176939528234,22.0,20.813335243166996,1592.135821793302,21.0,19.810484800719145,1451.3683356310219,20.0,18.87565689660352,1228.6864634715055,19.0
